product_cat_id,product_cat_name,product_cat_keywords,product_cat_brands
1,"Alcoholic beverages (Beer Hard Seltzer)","['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']"
2,Banking & Investments,"['secure', 'reliable', 'customized', 'personalized', 'easy', 'quick', 'convenient', 'safe', 'simple', 'comfortable', 'helpful', 'smart', 'trusted', 'innovative', 'efficient',  'trust', 'growth', 'savings', 'opportunities', 'returns', 'portfolio', 'strategy', 'innovation', 'convenience', 'expertise', 'performance', 'risk management', 'efficiency', 'mortgage', 'loan', 'confidence', 'credit', 'future', 'time', 'refund', 'expenses', 'reimbursement', 'on demand', 'fees', 'comfort', 'help', 'support', 'experts', 'advice', 'cpa', 'payments', 'interest', 'confidence',  'save', 'diversify', 'grow']","['BankofAmerica', 'Coinbase', 'Cryptocom', 'Discover', 'eToro', 'ETRADE', 'EXPENSIFY', 'FTX', 'Greenlight', 'GuaranteedRate', 'Intuit', 'Klarna', 'PayPal', 'QuickenLoans', 'Robinhood', 'RocketHomesAndRocketMortgage', 'ROCKETMORTGAGE', 'SoFi', 'SunTrust', 'TurboTax', 'HANDRBlock', 'TurboTax', 'Intuit', 'Rakuten']"
4,Car Accessories & Related Services,"['safe', 'protect', 'protected', 'protection', 'smart', 'factories', 'materials', 'workers', 'quality', 'custom fit', 'certified', 'overseas production', 'fits', 'laser measured', 'customized', 'non-toxic', 'family mentality', 'no drill']","['Michelin', 'Wallbox', 'Weathertech']"
5,Car Manufacturer,"['Luxurious', 'Efficient', 'Powerful', 'Innovative', 'Strong', 'Spacious',  'Premium', 'Advanced', 'Reliable', 'Dynamic', 'Responsive', 'Safe', 'Robust', 'Easy', 'Transparent', 'Steamlined', 'Worry-free', 'Exceptional', 'Precision', 'Revolutionary', 'Electrifying', 'Hybrid', 'Smart', 'Quiet', 'Fast', 'New', 'Exciting', 'Fuel Efficient', 'Aerodynamic', 'Stylish', 'Durable', 'Versatile',  'Eco-friendly', 'Sustainable', 'Comfortable','Drive', 'Exceed', 'Surpass', 'Outperform',  'Accelerate', 'Control', 'Deliver', 'Optimize', 'Save','Performance', 'Efficiency', 'Power', 'Luxury', 'Precision', 'Technology', 'Room', 'Space', 'Progress', 'Research', 'Help', 'Comfort', 'Durability', 'Handling', 'Responsiveness', 'Safety',  'Aerodynamics', 'Strength', 'Speed', 'Acceleration', 'Torque', 'Engine', 'Midsize', 'Seven-Passenger', 'GPS', 'Emergency Braking', 'Car Finder', 'Pedestrian Detection', 'Remote Start', 'Pricing', 'Stability', 'Control', 'Craftsmanship', 'Reliability', 'Experience', 'Design', 'Miles', 'Snow', 'Snowy', 'Mountain', 'Assurance', 'Exchange', 'Test Drive', 'Innovation', 'Advanced Technology', 'Aerodynamic Design',  'Smart Features', 'Driver Assistance', 'Crash Protection',  'All-Wheel Drive', 'Fuel Economy', 'Electric Powertrain',  'Regenerative Braking', 'Quiet Cabin', 'Premium Interiors',  'Seamless Connectivity', 'Enhanced Suspension', 'LED Headlights']","['Acura', 'AlfaRomeo', 'Audi', 'BMW', 'Buick', 'Cadillac', 'Chevrolet', 'Chrysler', 'Dodge', 'Fiat', 'Ford', 'GeneralMotors', 'Genesis', 'GMC', 'Honda', 'Hyundai', 'Jaguar', 'Jeep', 'Kia', 'Lexus', 'Lincoln', 'Maserati', 'MercedesBenz', 'MINI', 'Nissan', 'Polestar', 'Porsche', 'Ram', 'Toyota']"
6,Car Sales & Services Platform,"['easy', 'perfect', 'love', 'expert', 'really', 'found', 'glad', 'finally', 'well', 'reviews', 'drama', 'painless', 'deliver', 'respectful', 'haggled', 'flaky', 'straight', 'checked', 'happy', 'help', 'upsell', 'answers']","['Carvana', 'Vroom', 'Carscom', 'Carmax']"
7,"Clothing, shoes and apparel","['favorite', 'designed', 'comfortable', 'uncomfortable', 'durable', 'stylish', 'trendy', 'elegant', 'lightweight', 'breathable', 'innovative', 'timeless', 'sleek', 'flexible', 'sustainable', 'classic', 'all-weather', 'effortless', 'premium', 'soft', 'versatile', 'resilient', 'organic', 'silky', 'natural', 'eco-friendly', 'smooth', 'wrinkle-free', 'hypoallergenic', 'stretchable', 'fashionable', 'luxurious', 'quality', 'comfort', 'design', 'craftsmanship', 'versatility', 'performance', 'style', 'functionality', 'durability', 'elegance', 'outdoor', 'outside', 'technology', 'fit', 'environment', 'texture', 'sustainability', 'innovation', 'precision', 'fashion']","['CalvinKlein', 'Gildan', 'HANDM', 'Marmot', 'Skechers', 'VictoriasSecret']"
8,Consumer Electronics and Appliances,"['Smart', 'Display', 'Control', 'Touchscreen', 'Wireless', 'Innovative', 'Innovation', 'Advanced', 'Reliable', 'Powerful',  'Integration', 'Cloud', 'Compact', 'Adaptive', 'Efficient', 'Customizable', 'Connectivity', 'Features', 'Performance', 'High-performance', 'Processor', 'AI-powered', 'Interactive', 'Premium', 'Cutting-Edge', 'Future-ready', 'Clarity', 'Solution', 'Portable',  'Bluetooth', 'Charging', 'Responsive', 'Sync']","['BlackBerry', 'Google', 'Intel', 'LGEEAudioVisual', 'MetaforMetaQuest', 'Nintendo', 'SamsungCommunicationMedia', 'SodaStream', 'BeatsbyDrDre', 'MONSTERPRODUCTS', 'Logitech', 'MICROSOFT', 'Mophie', 'Microsoft', 'BestBuy', 'RadioShack']"
9,Cosmetics and personal care products,"['luxurious', 'nourishing', 'radiant', 'smooth', 'silky', 'hydrating', 'revitalizing', 'refreshing', 'lightweight', 'gentle', 'soft', 'vibrant', 'luminous', 'creamy', 'flawless', 'soothing', 'enriched', 'natural', 'organic', 'effective', 'rejuvenating', 'non-greasy', 'long-lasting', 'moisturizing', 'fast-absorbing', 'velvety', 'delicate', 'hypoallergenic', 'calming', 'glamorous', 'pure', 'advanced', 'premium', 'transformative', 'indulgent', 'supple', 'youthful', 'innovative', 'ultra-light', 'restorative', 'purifying', 'anti-aging', 'beautiful', 'beauty', 'radiance', 'hydration', 'glow', 'smoothness', 'nourishment', 'vitality', 'care', 'protection', 'luxury', 'softness', 'brightness', 'elegance', 'moisture', 'refreshment', 'comfort', 'purity', 'rejuvenation', 'delicacy', 'harmony', 'cleansing', 'balance', 'silkiness', 'transformation', 'indulgence', 'brilliance', 'refinement', 'suppleness', 'youthfulness', 'gentleness', 'treatment', 'serum', 'essence', 'renewal', 'therapy', 'allure', 'freshness', 'gloss', 'shine']","['Fitbit', 'PlanetFitness']"
10,Diet and exercise products,"['healthy', 'energizing', 'effective', 'smart', 'natural', 'powerful', 'balanced', 'sustainable', 'lean', 'strong', 'fit', 'active', 'fast-acting', 'long-lasting', 'satisfying', 'revitalizing', 'transformative', 'efficient', 'lightweight', 'flexible', 'durable', 'personalized', 'clean', 'progressive', 'innovative', 'invigorating', 'adaptable', 'dynamic', 'easy', 'portable', 'comprehensive', 'accessible', 'motivating', 'empowering', 'proven', 'safe', 'organic', 'targeted', 'supportive', 'revolutionary', 'advanced', 'scientific', 'energy', 'fitness', 'strength', 'health', 'diet', 'exercise', 'endurance', 'balance', 'performance', 'transformation', 'results', 'recovery', 'flexibility', 'stamina', 'agility', 'metabolism', 'goals', 'progress', 'motivation', 'power', 'weight loss', 'core', 'workout', 'regimen', 'lifestyle', 'vitality', 'training', 'support', 'control', 'focus', 'dedication', 'innovation', 'wellness', 'challenges', 'calories', 'customization', 'inspiration', 'success', 'circulation']","['CalvinKlein', 'Gildan', 'Marmot', 'Skechers', 'VictoriasSecret']"
12,Food Delivery Services,"['easy', 'delivered', 'local', 'convenience', 'delicious', 'famous', 'support', 'neighborhood', 'accessible', 'reliable', 'excited', 'cuisines', 'order', 'smoothie', 'people', 'corner', 'big', 'street', 'meet']","['DoorDash', 'UberEats']"
