product_cat_id,product_cat_name,product_cat_keywords,product_cat_brands
1,Alcoholic beverages (beer),"['beer', 'premium', 'quality', 'zero', 'flavor', 'tradition', 'golden', 'cool', 'cold', 'refreshing', 'flavorful', 'aromatic', 'brewed', 'hops', 'malt', 'yeast', 'craft', 'lager', 'ale', 'pilsner', 'friends', 'fun']","['Anheuser Busch InBev', 'Beck\'s Beer', 'Bud Light', 'Budweiser', 'Busch', 'MichelobULTRA', 'Shock Top', 'Stella Artois']"
2,Banking & Investments,"['money', 'investor', 'investment', 'taxes', 'bank', 'banking', 'mortgage', 'loan', 'refund', 'return', 'opportunities']","['BankofAmerica','Coinbase','Cryptocom','Discover','eToro','ETRADE','EXPENSIFY','FTX','Greenlight','GuaranteedRate','Intuit','Klarna','PayPal','QuickenLoans','Robinhood','RocketHomesAndRocketMortgage','ROCKETMORTGAGE','SoFi','SunTrust','TurboTax','HANDRBlock','TurboTax','Intuit']"
4,Car Manufacturer,"['fast','smart','safe','efficient','powerful','reliable','dynamic','comfortable','innovative','durable','aerodynamic','sustainable', 'american','electric','compact','precise','stable','quiet','smooth','secure','versatile','responsive','controlled','optimized','eco-friendly','torque','traction','acceleration','battery','handling']","['Acura','AlfaRomeo','Audi','BMW','Buick','Cadillac','Chevrolet','Chrysler','Dodge','Fiat','Ford','GeneralMotors','Genesis','GMC','Honda','Hyndai','Hyundai','Jaguar','Jeep','Kia','Lexus','Lincoln','Maserati','MercedesBenz','Michelin','Nissan','Polestar','Porsche','Ram','Toyota','Volkswagen']"
5,Consumer Electronics and Appliances,"['technology','smart','device','innovation','app','screen','touch','battery','voice','display','network','system','speaker','automation','interface','control','connection','security','camera','cloud','power','wi-fi','software']","['BlackBerry','Google','Intel','LGCEAudioVisual','MetaforMetaQuest','Nintendo','SamsungCommunicationMedia','SodaStream','BeatsbyDrDre','MONSTERPRODUCTS','Logitech','MICROSOFT','Mophie','Microsoft','BestBuy','RadioShack']"
6,Games,"['game','play','level','points','score','player','team','mode','challenge','win','mission','goal','arena','battle','adventure','quest','strategy','turn','move','match','round','action','control','timer','leaderboard','ranking','reward','skill','power']","['MachineZone','MobileStrike','Pokemon','Supercell','TopGamesUS','uCool','Wargaming']"
7,Quick Service Restaurants & Food Chains,"['burger','fries','cheese','sub','sandwich','beef','chicken','meal','sauce','patty','bun','wrap','sides','drinks','delicious','tasty','fresh','quick','fast']","['BurgerKing','Chipotle','HardRock','JimmyJohns','KFC','LittleCaesars','McDonalds','Subway','TacoBell','Wendys']"
8,Smart Home Devices,"['home','smart','security','system','device','voice','control','light','camera','sensor','monitor','app','technology','automation','door','alarm','thermostat','lock','speaker','network']","['ADT','Amazon','AmazonAlexa','AmazonEcho','Google','SimpliSafe','Sonos']"
9,Snacks,"['chips','chocolate','yogurt','cookies','delicious','tasty','nuts','ingredients','flavor']","['Butterfinger','Cheerios','Cheetos','Chobani','Dannon','DEVOUR','Doritos','Heinz','HellmannsMayonnaise','KingsHawaiian','Kraft','Lays','MANDMs','Nestle','Oreo','Planters','Poptarts','Pringles','Reeses','SabraHummus','Skittles','Snickers','WonderfulPistachios']"
10,Soft drinks,"['drink','thirst','thirsty','cool','cold','refreshing','sparkling','flavor','sugar','zero','ingredients']","['Bai','BUBLY','CocaCola','DietCoke','MiO','MountainDew','Pepsi','Sprite']"
12,Travel and Booking Platforms,"['travel','explore','adventure','journey','world','flight','destination','airline','experience','cruise','booking','trip','planet','culture','places','voyage','mission']","['Airbnb','Apartmentscom','TOURISMAUSTRALIA','Bookingcom','CarnivalCruiseLine','Expedia','Inspiration4','NorwegianCruiseLines','TurkishAirlines']"
