brand,commercial_number,csr_type,encoded_emotion,product_brand_keywords,product_cat_name,product_cat_keywords,product_cat_brands,transcript,ocr_text,transcript_superlatives,transcript_comparatives,transcript_unique_words,transcript_superlative_count,transcript_comparative_count,transcript_uniqueness_count,transcript_superlative_pct,transcript_comparative_pct,transcript_uniqueness_pct,transcript_total_bdm_terms_count,transcript_total_bdm_terms_pct,ocr_text_superlatives,ocr_text_comparatives,ocr_text_unique_words,ocr_text_superlative_count,ocr_text_comparative_count,ocr_text_uniqueness_count,ocr_text_superlative_pct,ocr_text_comparative_pct,ocr_text_uniqueness_pct,ocr_text_total_bdm_terms_count,ocr_text_total_bdm_terms_pct,transcript_adj_noun_pairs,transcript_num_adj_noun_pairs,ocr_text_adj_noun_pairs,ocr_text_num_adj_noun_pairs
Audi,AD0252,0.0,0,"sustainable', 'future', 'electric', 'all-electric', 'electrified'",Car Manufacturer,"['Luxurious', 'Efficient', 'Powerful', 'Innovative', 'Strong', 'Spacious',  'Premium', 'Advanced', 'Reliable', 'Dynamic', 'Responsive', 'Safe', 'Robust', 'Easy', 'Transparent', 'Steamlined', 'Worry-free', 'Exceptional', 'Precision', 'Revolutionary', 'Electrifying', 'Hybrid', 'Smart', 'Quiet', 'Fast', 'New', 'Exciting', 'Fuel Efficient', 'Aerodynamic', 'Stylish', 'Durable', 'Versatile',  'Eco-friendly', 'Sustainable', 'Comfortable','Drive', 'Exceed', 'Surpass', 'Outperform',  'Accelerate', 'Control', 'Deliver', 'Optimize', 'Save','Performance', 'Efficiency', 'Power', 'Luxury', 'Precision', 'Technology', 'Room', 'Space', 'Progress', 'Research', 'Help', 'Comfort', 'Durability', 'Handling', 'Responsiveness', 'Safety',  'Aerodynamics', 'Strength', 'Speed', 'Acceleration', 'Torque', 'Engine', 'Midsize', 'Seven-Passenger', 'GPS', 'Emergency Braking', 'Car Finder', 'Pedestrian Detection', 'Remote Start', 'Pricing', 'Stability', 'Control', 'Craftsmanship', 'Reliability', 'Experience', 'Design', 'Miles', 'Snow', 'Snowy', 'Mountain', 'Assurance', 'Exchange', 'Test Drive', 'Innovation', 'Advanced Technology', 'Aerodynamic Design',  'Smart Features', 'Driver Assistance', 'Crash Protection',  'All-Wheel Drive', 'Fuel Economy', 'Electric Powertrain',  'Regenerative Braking', 'Quiet Cabin', 'Premium Interiors',  'Seamless Connectivity', 'Enhanced Suspension', 'LED Headlights']","['Acura', 'AlfaRomeo', 'Audi', 'BMW', 'Buick', 'Cadillac', 'Chevrolet', 'Chrysler', 'Dodge', 'Fiat', 'Ford', 'GeneralMotors', 'Genesis', 'GMC', 'Honda', 'Hyundai', 'Jaguar', 'Jeep', 'Kia', 'Lexus', 'Lincoln', 'Maserati', 'MercedesBenz', 'MINI', 'Nissan', 'Polestar', 'Porsche', 'Ram', 'Toyota']"," Look at you! So dashing! Come on. Nowadays, lots of people go by themselves. No, they don't. Yeah. Hey, son. Have fun tonight. Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! Oh, no! jetzto out and be lovely! The kickbackfale you ham awful We could never give up on you! Dai yooo! Hey! Hey! Oh, no! six play drive mentioned all",'3n Closed course obey speed and traffic PRINCIPAL ONLY PRINCE Bravery Bravery It's what defines us Audi CW Truth in Engineering Away 22 SCORING SUMMARY BALTIMORE REC TD THIS POSTSEASON Art 4 REC TD IN REG SEASON RAVENS,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,ONLY,0,0,1,0.0,0.0,2.5,1,2.5,[],0,[],0
Axe,AD0253,0.0,1,,,,, incredible,WEEP OF ad 5 An ASTRONAUT Unilever NEW APOLLO ENTER BEFORE MIDNIGHT AT AXEAPOLLO COM No purchase Void where Game is by Inc Open lo Ollie DC Beyins 1913a10G00OOPT ends 1 PT rule s visit a,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
BestBuy,AD0254,0.0,0,,Consumer Electronics and Appliances,"['Smart', 'Display', 'Control', 'Touchscreen', 'Wireless', 'Innovative', 'Innovation', 'Advanced', 'Reliable', 'Powerful',  'Integration', 'Cloud', 'Compact', 'Adaptive', 'Efficient', 'Customizable', 'Connectivity', 'Features', 'Performance', 'High-performance', 'Processor', 'AI-powered', 'Interactive', 'Premium', 'Cutting-Edge', 'Future-ready', 'Clarity', 'Solution', 'Portable',  'Bluetooth', 'Charging', 'Responsive', 'Sync']","['BlackBerry', 'Google', 'Intel', 'LGEEAudioVisual', 'MetaforMetaQuest', 'Nintendo', 'SamsungCommunicationMedia', 'SodaStream', 'BeatsbyDrDre', 'MONSTERPRODUCTS', 'Logitech', 'MICROSOFT', 'Mophie', 'Microsoft', 'BestBuy', 'RadioShack']"," Hi, we're answering the questions. What's the heck's the difference between all these phones? What's LTE? Is it contagious? Which one fits my face? Can I use a dongle with this? Does it make you uncomfortable to use a word dongle? I'd use noise caps like so it makes a smart TV so smart. You don't make a mission on anything? Anything. Wanna let your girl go with it? What's the cloud? Where is the cloud? Are we in the cloud now? Well, this one read 50 shades of grey to me in a sexy voice? No. Will you? Thank you, you'd be very helpful. What? Nothing.",88p 4a Novaa Ox 27 CNTRAL T Mobile MAGIC RY MO 4EADPHONES OW PRICE FREE DELIVERY RANTEE ON ALL MOVIES MUSIC HOME APPLIANCES TOP RATED SLR CAMERAS MA WWeeen LAPTOPS 30 LAPTOPS BEST BUY BEST BUY CREATIVITY UR SLEEK AN Screen Images TEST TABLETS HERE THOUSANDS OF EXPERTS IE plebs and cReaders under one fool ARL READY TO HELP BUY c A BEST He BESTE SOLUTION CENTRAL Any E Sprint All puce,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,,0,0,0,0.0,0.0,0.0,0,0.0,"['smart TV', 'sexy voice']",2,['FREE DELIVERY'],1
BlackBerry,AD0255,0.0,0,,Consumer Electronics and Appliances,"['Smart', 'Display', 'Control', 'Touchscreen', 'Wireless', 'Innovative', 'Innovation', 'Advanced', 'Reliable', 'Powerful',  'Integration', 'Cloud', 'Compact', 'Adaptive', 'Efficient', 'Customizable', 'Connectivity', 'Features', 'Performance', 'High-performance', 'Processor', 'AI-powered', 'Interactive', 'Premium', 'Cutting-Edge', 'Future-ready', 'Clarity', 'Solution', 'Portable',  'Bluetooth', 'Charging', 'Responsive', 'Sync']","['BlackBerry', 'Google', 'Intel', 'LGEEAudioVisual', 'MetaforMetaQuest', 'Nintendo', 'SamsungCommunicationMedia', 'SodaStream', 'BeatsbyDrDre', 'MONSTERPRODUCTS', 'Logitech', 'MICROSOFT', 'Mophie', 'Microsoft', 'BestBuy', 'RadioShack']"," love In thirty seconds, it's Quicker to show you what it can't do. The new Blackberry Z10.",Screen images simulated Coming soon lo select US carriers STOP BlackBerry See what it can do at blackberry Hub Sales BlackBerry Trevor See what it can do at blackberry,,Quicker,,0,1,0,0.0,4.3478260869565215,0.0,1,4.3478260869565215,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
Beck's Beer,AD0256,0.0,0,,,,," I like the way you are getting lonely, I gotta bang it up, I like the way you work in, I'm getting lonely, I gotta bang it up, I can't get out of my mouth, I think about the role that's time. Introducing new Beck Sapphire, made with German Sapphire Homs, for our Smithers Beck's here tonight.",BECK BecKS SAPPHIRE BECKS SAPPHIRE MAN SAPPHIRE SMOOTH TASTE HOPS becks Vol BECK SAPPHIRE Ba Sapphire Hoes bEcKs LG BECKS SAPPHIRE RE PS IE REG 769 6 RTG BECKS Ivol becK JR bECKS FT OUR BECK SMOOTHEST Ac BECKS YET SAPPHIRE Always Responsibly 2013 Beck Co Beck MO OUR BECKs SMOOTHEST BECKS YET SAPPHIRE Always Enjoy Responsibly Beck Co Beck SQ Dcor MO,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
Budweiser,AD0257,0.0,0,"taste', 'smooth', 'crisp', 'aged', 'beachwood', 'imported', 'wind power'",Alcoholic beverages (Beer Hard Seltzer),"['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']", We summoned the finest of this nation to help us taste and choose a golden amber logger. The new butwizer black crown. Here's the taste. Here's the our kind of beer. The new smooth and distinctive butwizer black crown.,BLACK U ENJOY RESPONSIBLY A B CROWN LAGER ST Louis MO MACK Lo NEW BLACK CROWN BLACK CROWN,finest,,finest,1,0,1,2.127659574468085,0.0,2.127659574468085,2,4.25531914893617,,,,0,0,0,0.0,0.0,0.0,0,0.0,"['golden amber', 'new butwizer', 'black crown', 'distinctive butwizer', 'black crown']",5,['BLACK U'],1
Budweiser,AD0258,0.0,0,"taste', 'smooth', 'crisp', 'aged', 'beachwood', 'imported', 'wind power'",Alcoholic beverages (Beer Hard Seltzer),"['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']", The loud. The savvy. The famous. It took all of us to taste and choose the new Budweiser Black Crown. Our kind of beer. A golden Amber Lager to match our night. The new smooth and distinctive Budweiser Black Crown. The new Budweiser Black Crown.,1V McTcm Mccnuat Enjoy 02013 A B Buck ST Lours MO B Louie ha Lot NEW BLACK CROWN BLACK CROWN,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
Bud Light,AD0259,0.0,0,"rice', 'hops', 'corn syrup', 'America', 'taste', 'flavor', 'refreshing', 'zero', 'carbs'",Alcoholic beverages (Beer Hard Seltzer),"['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']"," You look a little more gel. That's good luck. Good luck. Welcome to Super Bowl. Who are you, son of a... Wow. Wow. Good luck for fans who do whatever it takes. Here we go.",8243 238 Shon Bar LISNT EuD Ga Gd 1 ta ITS ONLY WEIRD IF IT DOESN'T WORK BUD alt BUD LIGHT ST LOUIS MO,,more,,0,1,0,0.0,2.127659574468085,0.0,1,2.127659574468085,,,ONLY,0,0,1,0.0,0.0,4.166666666666666,1,4.166666666666666,"['more gel', 'good luck', 'Good luck', 'Good luck']",4,[],0
Budweiser,AD0260,0.0,0,"taste', 'smooth', 'crisp', 'aged', 'beachwood', 'imported', 'wind power'",Alcoholic beverages (Beer Hard Seltzer),"['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']"," I took it down. Flung them out and I'm a turned around. We'll have it free to change it, because I feel my love around you. But time may your boulder even chill and get older. Get older, turn around. I'll take it down. And if you see my reflection, it's no cover days. Well, a landslide bring it down.",THREE YEARS LATER AC Coming to Things Budweiser Chicago JV Kc RESPONSIBLY ANHEUSER BEER St Louis MO,,"older, older",,0,2,0,0.0,2.5974025974025974,0.0,2,2.5974025974025974,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
CalvinKlein,AD0261,0.0,0,,Diet and exercise products,"['healthy', 'energizing', 'effective', 'smart', 'natural', 'powerful', 'balanced', 'sustainable', 'lean', 'strong', 'fit', 'active', 'fast-acting', 'long-lasting', 'satisfying', 'revitalizing', 'transformative', 'efficient', 'lightweight', 'flexible', 'durable', 'personalized', 'clean', 'progressive', 'innovative', 'invigorating', 'adaptable', 'dynamic', 'easy', 'portable', 'comprehensive', 'accessible', 'motivating', 'empowering', 'proven', 'safe', 'organic', 'targeted', 'supportive', 'revolutionary', 'advanced', 'scientific', 'energy', 'fitness', 'strength', 'health', 'diet', 'exercise', 'endurance', 'balance', 'performance', 'transformation', 'results', 'recovery', 'flexibility', 'stamina', 'agility', 'metabolism', 'goals', 'progress', 'motivation', 'power', 'weight loss', 'core', 'workout', 'regimen', 'lifestyle', 'vitality', 'training', 'support', 'control', 'focus', 'dedication', 'innovation', 'wellness', 'challenges', 'calories', 'customization', 'inspiration', 'success', 'circulation']","['CalvinKlein', 'Gildan', 'Marmot', 'Skechers', 'VictoriasSecret']", Shitalah! atmospheric in music� up,Calvin Klein Klein Calvin i C 0 N E P T Calvin Klein C 0 N C E P T,,,,0,0,0,0.0,0.0,0.0,0,0.0,,,,0,0,0,0.0,0.0,0.0,0,0.0,[],0,[],0
