brand,commercial_number,BDM,transcript,total_bdm_terms_pct,comparatives,superlatives,unique_words,bdm_words,product_cat_name,product_cat_keywords,product_cat_brands,keyword_similarity,similar_phrases,shared_keywords,shared_keywords_count
LittleCaesars,AD0654,1.0,"Delivery available from locations with online orders only Delivery fees apply SLICED BREAD HEADQUARTERS SLICED RAKE NEWS SLICED BREAD INC LITTLE CAESARS ANNOUNCES DELIVERY Stale Little Caesars Little Caesars Delivery. That's the best thing since sliced bread. We got a problem. There's a new best thing. New ideas. Go. Travel-sized bread. Sparkle bread. Bread pets. Dear Lord. Run the numbers. And the numbers. Run them again. Sliced bread is toast. This is not happening. Everything is fine. Little Caesars Delivery. Best thing since sliced bread. I know. America's best value, now delivered. Pizza Pizza.",5.263157894736842,[],"['best', 'best', 'Best', 'best']",['only'],"['only', 'best', 'best', 'Best', 'best']",Quick Service Restaurants & Food Chains,"['fresh', 'enjoy', 'organic', 'natural', 'delicious', 'quick', 'tasty', 'crispy', 'cheesy', 'juicy', 'hot', 'flavorful', 'spicy', 'tender', 'crunchy', 'smoky', 'rich', 'satisfying', 'affordable', 'fast', 'convenient', 'classic', 'loaded', 'grilled', 'indulgent', 'filling', 'tempting', 'iconic', 'specials', 'flavor', 'taste', 'freshness', 'crunch', 'aroma', 'variety', 'deal', 'toppings', 'spices', 'menu', 'satisfaction', 'indulgence', 'quality']","['BurgerKing', 'Chipotle', 'HardRock', 'JimmyJohns', 'KFC', 'LittleCaesars', 'McDonalds', 'Subway', 'TacoBell', 'Wendys']",0.22398081,[],[],0
PersilProclean,AD0612,1.0,STAIN LAB WATER V I IN Original ITS MORE THAN CLEAN ITS CLEAN CLEAN DEEP CLEAN Want to know Purcell's deepest secret? It's in the deep clean level where we face deep stains to prove Purcell goes even deeper for an exceptional deep clean And what's your deepest secret? Keep it clean Rhonda. Purcell Pro Clean,10.714285714285714,"['MORE', 'deeper']","['deepest', 'deepest']","['Original', 'exceptional']","['Original', 'MORE', 'deepest', 'deeper', 'exceptional', 'deepest']",Household and lawn and garden supplies,"['powerful', 'effective', 'reliable', 'fast-acting', 'efficient', 'eco-friendly', 'natural', 'safe', 'gentle', 'strong', 'tough', 'streak-free', 'odor-free', 'biodegradable', 'non-toxic', 'multi-purpose', 'convenient', 'refreshing', 'long-lasting', 'antibacterial', 'hygienic', 'residue-free', 'lightweight', 'versatile', 'innovative', 'durable', 'concentrated', 'clean', 'sparkling', 'absorbent', 'affordable', 'sustainable', 'easy-to-use', 'flexible', 'compact', 'modern', 'energy-saving', 'weatherproof', 'adaptable', 'seamless', 'precise', 'resilient', 'polished', 'vibrant', 'adjustable', 'ergonomic', 'practical', 'cleanliness', 'power', 'efficiency', 'quality', 'freshness', 'hygiene', 'protection', 'shine', 'performance', 'safety', 'streak-free finish', 'versatility', 'odor control', 'innovation', 'simplicity', 'biodegradability', 'multi-purpose use', 'concentration', 'gentleness', 'eco-friendliness', 'residue', 'effectiveness', 'absorption', 'durability', 'antibacterial action', 'convenience', 'sparkle', 'stain removal', 'solutions', 'foam', 'lather', 'disinfection', 'smell', 'reliability', 'flexibility', 'sustainability', 'strength', 'precision', 'affordability', 'adaptability', 'functionality', 'resilience', 'toughness', 'design', 'aesthetics', 'weather-resistance', 'energy savings', 'usability', 'practicality', 'comfort', 'maintenance', 'tools', 'support', 'stain', 'cleaning power']","['Febreze', 'Loctite', 'MrClean', 'PersilProClean', 'ProcterANDGamble', 'ScottsMiracleGro', 'SpeedStick', 'Tide']",0.37054887,"['Purcell Pro Clean', ""STAIN LAB WATER V I IN Original ITS MORE THAN CLEAN ITS CLEAN CLEAN DEEP CLEAN Want to know Purcell's deepest secret? It's in the deep clean level where we face deep stains to prove Purcell goes even deeper for an exceptional deep clean And what's your deepest secret? Keep it clean Rhonda""]","['clean', 'stain']",2
Fiji,AD0482,0.0,EARTHS FINEST WATER EARTHS FINEST WATER FIJI WATER Fiji water is a gift from nature to us. To repay our gift of leaving it completely alone. Bottled at the source. Untouched by man. It's Earth's finest water.,8.108108108108109,[],['finest'],"['FINEST', 'FINEST']","['FINEST', 'FINEST', 'finest']","Non-Softdrinks (Water, Milk, Milk Substitutes)","['pure', 'refreshing', 'natural', 'nature', 'spring', 'quality', 'organic', 'fresh']","['Fiji', 'LifeWTR', 'Oatly', 'GotMilk']",0.29267335,['EARTHS FINEST WATER EARTHS FINEST WATER FIJI WATER Fiji water is a gift from nature to us'],['nature'],1
DisneyPlus,AD0758,0.0,"LORI Disney Plus has the greatest movies and shows of all time, which means they got all the goats. There's Lion King, the goat. Avengers Endgame, the goat. This must be Star Wars. Careful up there, Free Solo. These are all the new goats. Marabelle. Hey, Bart, leave Woody alone. A lot of goats here. There's nothing weird about this at all. I'll get the next one. The greatest movies and shows of all time are only on Disney Plus.",3.75,[],"['greatest', 'greatest']",['only'],"['greatest', 'greatest', 'only']",Streaming Service ,"['innovative', 'seamless', 'immersive', 'exclusive', 'unlimited', 'reliable', 'flexible', 'intuitive', 'accessible', 'customizable', 'personalized', 'dynamic', 'on-demand', 'fast', 'high-quality', 'affordable', 'interactive', 'versatile', 'entertaining', 'user-friendly', 'engaging', 'responsive', 'modern', 'secure', 'inclusive', 'global', 'premium', 'effortless', 'adaptive', 'diverse', 'compact', 'efficient', 'streamlined', 'flexible', 'engrossing', 'vivid', 'captivating', 'favorite', 'convenient','streaming', 'entertainment', 'content', 'quality', 'selection', 'library', 'experience', 'access', 'versatility', 'subscriptions', 'originals', 'variety', 'features', 'playback', 'binge-watching', 'exclusivity', 'freedom', 'availability', 'platform', 'choices', 'genres', 'recommendations', 'episodes', 'shows', 'movies', 'streamline', 'series', 'innovations', 'audiences', 'subscriptions', 'convenience', 'technology', 'resolution', 'curation', 'analytics', 'playlists', 'viewing', 'downloads', 'ease']","['AmazonPrimeVideo', 'DisneyPlus', 'Hulu', 'Paramount Plus', 'Quibi', 'YouTube']",0.20116818,[],"['shows', 'movies']",2
ETRADE,AD0701,0.0,"ft THIS MIGHT BE THE YEAR YOU FINALLY GET IN SHAPE FINANCIALLY AT LEAST GET MAD re F You F This is how you become the best! Don't get mad, get E-Trade and take charge of your finances today.",2.5,[],['best'],[],['best'],Banking & Investments,"['secure', 'reliable', 'customized', 'personalized', 'easy', 'quick', 'convenient', 'safe', 'simple', 'comfortable', 'helpful', 'smart', 'trusted', 'innovative', 'efficient',  'trust', 'growth', 'savings', 'opportunities', 'returns', 'portfolio', 'strategy', 'innovation', 'convenience', 'expertise', 'performance', 'risk management', 'efficiency', 'mortgage', 'loan', 'confidence', 'credit', 'future', 'time', 'refund', 'expenses', 'reimbursement', 'on demand', 'fees', 'comfort', 'help', 'support', 'experts', 'advice', 'cpa', 'payments', 'interest', 'confidence',  'save', 'diversify', 'grow']","['BankofAmerica', 'Coinbase', 'Cryptocom', 'Discover', 'eToro', 'ETRADE', 'EXPENSIFY', 'FTX', 'Greenlight', 'GuaranteedRate', 'Intuit', 'Klarna', 'PayPal', 'QuickenLoans', 'Robinhood', 'RocketHomesAndRocketMortgage', 'ROCKETMORTGAGE', 'SoFi', 'SunTrust', 'TurboTax', 'HANDRBlock', 'TurboTax', 'Intuit', 'Rakuten']",0.26928464,[],[],0
Sprint,AD0617,1.0,"Compared Verizon Go Unlimited and Subject credit apply Compared to capable Coverage Advanced TO Faster sprint Faster compared to Sprint capable device Offer and coverage not everywhere Unlimited Basic compared Verizon Go and Unlimited More with Ines Subject to credit apply Sprint Brighter Future For How do we tell people they get the best of both worlds with Sprint? How about we get two sport legends, Bo Jackson? What's up? Holding a mermaid. Playing a keytar. And a bird horse! Why don't you just tell people Sprint can save them more than a thousand dollars? On an LTE advanced network that's now up to two times faster than before. Bo does know. This is the best robot analogy I've ever been in. With a great network and savings over Verizon and AT&T, get the best of both worlds with Sprint. Yee-haw!",7.801418439716312,"['More', 'more']","['best', 'best', 'best']","['Compared', 'Compared', 'Advanced', 'compared', 'compared', 'advanced']","['Compared', 'Compared', 'Advanced', 'compared', 'compared', 'More', 'best', 'more', 'advanced', 'best', 'best']",Telecommuniactions services,"['5G', 'LTE', 'network', 'sound', 'unlimited', 'data', 'taxes', 'fees', 'contract', 'reception', 'streaming', 'internet', 'limit', 'nationwide', 'WiFi', 'limited', 'switch', 'upgrade', 'customer service', 'bill', 'save', 'saving', 'reliable', 'fast', 'seamless', 'secure', 'affordable', 'flexible', 'efficient', 'innovative', 'responsive', 'advanced', 'powerful', 'uninterrupted', 'intuitive', 'global', 'high-speed', 'accessible', 'dynamic', 'modern', 'scalable', 'user-friendly', 'dependable', 'customizable', 'stable', 'cutting-edge', 'versatile', 'comprehensive', 'robust', 'adaptive', 'integrated', 'streamlined', 'crystal-clear', 'connected', 'clear', 'trusted', 'generation', 'connectivity', 'speed', 'coverage', 'reliability', 'communication', 'accessibility', 'technology', 'innovation', 'performance', 'service', 'integration', 'solutions', 'signal', 'bandwidth', 'efficiency', 'security', 'reach', 'features', 'mobility', 'voice', 'connections', 'broadband', 'control', 'freedom', 'clarity', 'support', 'simplicity', 'wireless', 'transmission', 'platform', 'compatibility', 'devices', 'experience', 'management', 'scalability']","['Mint', 'Sprint', 'TMobile', 'VerizonWireless']",0.4236893,"[""And a bird horse! Why don't you just tell people Sprint can save them more than a thousand dollars? On an LTE advanced network that's now up to two times faster than before"", 'With a great network and savings over Verizon and AT&T, get the best of both worlds with Sprint', ""Compared Verizon Go Unlimited and Subject credit apply Compared to capable Coverage Advanced TO Faster sprint Faster compared to Sprint capable device Offer and coverage not everywhere Unlimited Basic compared Verizon Go and Unlimited More with Ines Subject to credit apply Sprint Brighter Future For How do we tell people they get the best of both worlds with Sprint? How about we get two sport legends, Bo Jackson? What's up? Holding a mermaid""]","['lte', 'network', 'unlimited', 'save', 'advanced', 'coverage']",6
Budweiser,AD0257,0.0,BLACK U Buck St Louis MO NEW BLACK CROWN BLACK CROWN We summon the finest of this nation to help us taste and choose a golden amber lager. The new Budweiser Black Crown. Here's to taste. Here's to our kind of beer. The new smooth and distinctive Budweiser Black Crown.,2.0,[],['finest'],[],['finest'],Alcoholic beverages (Beer Hard Seltzer),"['smooth', 'rich', 'refreshing', 'aromatic', 'flavorful', 'delicious', 'natural', 'zero', 'complex', 'premium', 'crafted', 'balanced', 'full-bodied', 'organic', 'fit', 'artificial','flavor', 'aroma', 'ingredients', 'quality', 'finish', 'character', 'craftsmanship', 'texture', 'heritage', 'blend', 'notes','bouquet', 'smoothness', 'intensity', 'purity', 'richness', 'tradition', 'complexity', 'corn syrup', 'cals', 'calories', 'carbs', 'protein', 'fat', 'sugar']","['Anheuser Busch InBev', 'Becks Beer', 'Bud Light', 'Budweiser', 'Busch', 'Michelob ULTRA', 'Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits''Shock Top', 'Stella Artois', 'BonViv', 'Bud Light Seltzer', 'Cutwater Spirits']",0.26867494,[],['smooth'],1
Jeep,AD0541,0.0,"Chase l l The New Jeep Cherokee Jeep Jeep a registered trademark A road is a wonderful thing. It makes it easier for you to get from point A to point B. But ultimately, the road is someone else's idea. The road always ends. And this is where some of our best stories begin.",3.7735849056603774,['easier'],['best'],[],"['easier', 'best']",Car Manufacturer,"['Luxurious', 'Efficient', 'Powerful', 'Innovative', 'Strong', 'Spacious',  'Premium', 'Advanced', 'Reliable', 'Dynamic', 'Responsive', 'Safe', 'Robust', 'Easy', 'Transparent', 'Steamlined', 'Worry-free', 'Exceptional', 'Precision', 'Revolutionary', 'Electrifying', 'Hybrid', 'Smart', 'Quiet', 'Fast', 'New', 'Exciting', 'Fuel Efficient', 'Aerodynamic', 'Stylish', 'Durable', 'Versatile',  'Eco-friendly', 'Sustainable', 'Comfortable','Drive', 'Exceed', 'Surpass', 'Outperform',  'Accelerate', 'Control', 'Deliver', 'Optimize', 'Save','Performance', 'Efficiency', 'Power', 'Luxury', 'Precision', 'Technology', 'Room', 'Space', 'Progress', 'Research', 'Help', 'Comfort', 'Durability', 'Handling', 'Responsiveness', 'Safety',  'Aerodynamics', 'Strength', 'Speed', 'Acceleration', 'Torque', 'Engine', 'Midsize', 'Seven-Passenger', 'GPS', 'Emergency Braking', 'Car Finder', 'Pedestrian Detection', 'Remote Start', 'Pricing', 'Stability', 'Control', 'Craftsmanship', 'Reliability', 'Experience', 'Design', 'Miles', 'Snow', 'Snowy', 'Mountain', 'Assurance', 'Exchange', 'Test Drive', 'Innovation', 'Advanced Technology', 'Aerodynamic Design',  'Smart Features', 'Driver Assistance', 'Crash Protection',  'All-Wheel Drive', 'Fuel Economy', 'Electric Powertrain',  'Regenerative Braking', 'Quiet Cabin', 'Premium Interiors',  'Seamless Connectivity', 'Enhanced Suspension', 'LED Headlights']","['Acura', 'AlfaRomeo', 'Audi', 'BMW', 'Buick', 'Cadillac', 'Chevrolet', 'Chrysler', 'Dodge', 'Fiat', 'Ford', 'GeneralMotors', 'Genesis', 'GMC', 'Honda', 'Hyundai', 'Jaguar', 'Jeep', 'Kia', 'Lexus', 'Lincoln', 'Maserati', 'MercedesBenz', 'MINI', 'Nissan', 'Polestar', 'Porsche', 'Ram', 'Toyota']",0.34372854,['Chase l l The New Jeep Cherokee Jeep Jeep a registered trademark A road is a wonderful thing'],['new'],1
TOURISMAUSTRALIA,AD0567,1.0,"L M S RESTAURANTS Sponsored Dy Tourism LIKE AUSTRALIA Sponsored Dy SUMMER NS THE A N AUSTRALIAN LEGEND RETURNS HOME S G DANNY AND CHRIS THE LIFETIME UNFORGETTABLE WINERIES Hey. That's not a knife. That's a knife. That's me. Really? Whatever. You all right there, mate? Just getting a clean shave with my machete. See you next week, Barry. Not a lot of crocs out here, huh? Just 37,000 miles of pristine beach, mate. Did you know that Australia makes some of the finest wines in the entire world? OK. Thank you very much. Wait, hold up. This isn't a movie. No. It's a tourism ad for Australia. Yes. But listen, you're the best Crocodile Dundee since Crocodile Dundee. Really? Yes, really. And we had the best trip ever, didn't we? Yeah, it was pretty sweet. Hey, you know, there are some great flight deals to Australia right now. Dude, I get it. It's not a movie. It's a commercial.",1.8867924528301887,[],"['finest', 'best', 'best']",[],"['finest', 'best', 'best']",Travel and Booking Platforms,"['Discover', 'Widen', 'Feel', 'Connect', 'Go', 'Adventure', 'Reach', 'Venture', 'Take', 'Enjoy', 'Bridge',  'Experience', 'Unexplored', 'Unlimited', 'Delight', 'Explore', 'Find', 'Book', 'Visit', 'Fly', 'convenient', 'reliable', 'seamless', 'affordable', 'accessible', 'flexible', 'fast', 'personalized', 'intuitive', 'global', 'comprehensive', 'efficient', 'user-friendly', 'customizable', 'secure', 'trusted', 'innovative', 'dynamic', 'versatile', 'responsive', 'exclusive', 'interactive', 'modern', 'stress-free', 'effortless', 'inclusive', 'tailored', 'organized', 'simple', 'adaptive', 'smart', 'comfortable', 'dependable', 'streamlined', 'quick', 'transparent', 'memorable', 'unforgettable', 'convenience', 'accessibility', 'security', 'efficiency', 'flexibility', 'freedom', 'options', 'trip', 'destinations', 'experience', 'comfort', 'guidance', 'affordability', 'reliability', 'trust', 'service', 'innovation', 'platform', 'solutions', 'tools', 'deals', 'bookings', 'planning', 'vacation', 'journey', 'getaway', 'offers', 'value', 'navigation', 'simplicity', 'resources', 'features', 'recommendations', 'savings', 'travelers', 'exploration', 'packages', 'support', 'integration']","['Airbnb', 'Apartmentscom', 'TOURISMAUSTRALIA', 'Bookingcom', 'CarnivalCruiseLine', 'Expedia', 'Inspiration4', 'NorwegianCruiseLines', 'TurkishAirlines']",0.104096994,[],"['unforgettable', 'trip', 'deals']",3
TurkishAirlines,AD0684,1.0,"YET TODAY OVER MILLION AMERICANS STEPPED ABROAD THESE ARE RUSS AND FIRST STEPS IN AMERICA LANDED ON THE Moon STEP ON EARTH With AIRLINE THAT FLIES To THE Most ON PLANET TURKISH AIRLINES WIDEN YOUR WORLD Today, we stand before a historic event. No words can describe this. Earth is here, waiting to be reached. Turkish Airlines.",3.508771929824561,[],['Most'],['FIRST'],"['FIRST', 'Most']",Travel and Booking Platforms,"['Discover', 'Widen', 'Feel', 'Connect', 'Go', 'Adventure', 'Reach', 'Venture', 'Take', 'Enjoy', 'Bridge',  'Experience', 'Unexplored', 'Unlimited', 'Delight', 'Explore', 'Find', 'Book', 'Visit', 'Fly', 'convenient', 'reliable', 'seamless', 'affordable', 'accessible', 'flexible', 'fast', 'personalized', 'intuitive', 'global', 'comprehensive', 'efficient', 'user-friendly', 'customizable', 'secure', 'trusted', 'innovative', 'dynamic', 'versatile', 'responsive', 'exclusive', 'interactive', 'modern', 'stress-free', 'effortless', 'inclusive', 'tailored', 'organized', 'simple', 'adaptive', 'smart', 'comfortable', 'dependable', 'streamlined', 'quick', 'transparent', 'memorable', 'unforgettable', 'convenience', 'accessibility', 'security', 'efficiency', 'flexibility', 'freedom', 'options', 'trip', 'destinations', 'experience', 'comfort', 'guidance', 'affordability', 'reliability', 'trust', 'service', 'innovation', 'platform', 'solutions', 'tools', 'deals', 'bookings', 'planning', 'vacation', 'journey', 'getaway', 'offers', 'value', 'navigation', 'simplicity', 'resources', 'features', 'recommendations', 'savings', 'travelers', 'exploration', 'packages', 'support', 'integration']","['Airbnb', 'Apartmentscom', 'TOURISMAUSTRALIA', 'Bookingcom', 'CarnivalCruiseLine', 'Expedia', 'Inspiration4', 'NorwegianCruiseLines', 'TurkishAirlines']",0.20694229,[],['widen'],1
