brand,number_of_ads_with_bdm,"product_brand_keywords"
TMobile,9,"leader', 'contract', 'switch', 'clear', 'data', 'LTE', 'unlimited', 'taxes', 'fees', '5G', 'works', 'network', 'nationwide'"
MichelobULTRA,6,"pure', 'organic', 'carbs', 'sugar', 'zero', 'calories', 'protein', 'fat', 'certified', 'real', 'spicy pineapple', 'peach pear', 'cucumber lime'"
WeatherTech,6,"American', 'America', 'factories', 'materials', 'workers', 'custom fit', 'protect', 'protection', 'safe'"
Hyundai,5,"auto emergency braking', 'car finder', 'pedestrian detection', 'remote start', 'childhood cancer research', 'shopper assurance', 'smart parking assist'"
Tide,5,"stain', 'clean', 'cleaning power', 'later', 'wait', 'power'"
TurboTax,5,"return', 'refund', 'CPA', 'help', 'advice', 'expert', 'expertise', 'free', 'live'"
Avocados from Mexico,4,"always in season', 'taste', 'delicious', 'good fat', 'healthy'"
Sprint,4,"expensive', 'bills', 'rate', 'unlimited', 'price', 'plan', 'network', 'contract', 'reliability', 'switch'"
BudLight,3,"rice', 'hops', 'corn syrup', 'America', 'taste', 'flavor', 'refreshing', 'zero', 'carbs'"
Budweiser,3,"taste', 'smooth', 'crisp', 'aged', 'beachwood', 'imported', 'wind power'"
VerizonWireless,3,"5G', 'responders', 'network', 'wideband', 'low lag', 'wireless', 'fees', 'contract', 'reception'"
Audi,2,"sustainable', 'future', 'electric', 'all-electric', 'electrified'"
Discover,2,"online', 'free', 'credit', 'accepted', 'members'"
Honda,2,"safety', 'dreams', 'love', 'care', 'moving'"
MountainDew,2,"juice', 'caffeine', 'zero', 'sugar', 'refreshing', 'taste', 'thirsty', 'Kickstart'"
PersilProClean,2,"clean', 'stains', 'deep', 'formular'"
Skechers,2,"comfortable', 'speed', 'run', 'comfort', 'memory foam', 'fit', 'slip'"
Snickers,2,"hungry', 'satisfies', 'eat', 'hostile', 'cranky', 'better'"
SodaStream,2,"bubbles', 'water', 'flavor', 'sugar', 'bottles', 'sparkling', 'in seconds', 'fresh'"
TurkishAirlines,2,"world', 'explore', 'wonder', 'fun', 'connecting', 'distance', 'abroad', 'planet'"
Valeant,2,"toenail fungus', 'IBSD', 'approved', 'proven', 'treat', 'treatment', 'pain', 'diarrhea', 'fight it'"
Vroom,2,"deliver', 'buy', 'sell', 'painless', 'online'"
Wendys,2,"fresh', 'never-frozen', 'beef', 'hot', 'juicy', 'taste', 'difference'"
Jeep,1 (+ 3 FPs),"restless', 'progress', 'ambition', '4x4'"
AlfaRomeo,1 (+ 1 FP),"appearance', 'presence', 'power'"
Toyota,1 (+ 1 FP),"fast', 'room', 'movement', 'speed'"
Advil,1 (FN),"pain', 'back aches', 'sore wrists', 'headache', 'bad shoulder', 'number one'"
Chipotle,1 (FN),"change', 'organic', 'plant', 'grow', 'water', 'pick', 'move', 'farmers', 'soil-helping', 'carbon-emitting', 'world-changing'"
GMC,1 (FN),"electric', 'quiet', 'sound', 'zero', 'emmissions', 'limits', 'horsepower', 'seconds', 'dominance', 'revolution'"
Dexcom,1 (FN),"diabetes', 'technology', 'finger sticks', 'change', 'glucose', 'phone', 'manage', 'future'"
